epoch,loss,step,test_accuracy,test_balanced_accuracy,test_loss,test_precision,test_recall,train_accuracy,train_balanced_accuracy,train_precision,train_recall,val_accuracy,val_balanced_accuracy,val_loss,val_precision,val_recall
0,0.1915110945701599,49,,,,,,,,,,,,,,
0,,63,,,,,,,,,,0.795597493648529,0.48580852150917053,0.22077280282974243,0.8388846516609192,0.9361273050308228
0,,63,,,,,,0.6845108866691589,0.49883779883384705,0.788383960723877,0.7535171508789062,,,,,
1,0.2017800658941269,99,,,,,,,,,,,,,,
1,,127,,,,,,,,,,0.8427672982215881,0.5,0.2205413430929184,0.8427672982215881,1.0
1,,127,,,,,,0.564945638179779,0.5012437701225281,0.6272053718566895,0.5846518874168396,,,,,
2,0.2606237232685089,149,,,,,,,,,,,,,,
2,,191,,,,,,,,,,0.8427672982215881,0.5,0.22143656015396118,0.8427672982215881,1.0
2,,191,,,,,,0.864130437374115,0.5001358985900879,0.864130437374115,1.0,,,,,
3,0.21019883453845978,199,,,,,,,,,,,,,,
3,0.15675152838230133,249,,,,,,,,,,,,,,
3,,255,,,,,,,,,,0.8427672982215881,0.5,0.22089345753192902,0.8427672982215881,1.0
3,,255,,,,,,0.864130437374115,0.5001358985900879,0.864130437374115,1.0,,,,,
4,0.23071956634521484,299,,,,,,,,,,,,,,
4,,319,,,,,,,,,,0.8427672982215881,0.5,0.22095225751399994,0.8427672982215881,1.0
4,,319,,,,,,0.864130437374115,0.5001358985900879,0.864130437374115,1.0,,,,,
5,0.2233581840991974,349,,,,,,,,,,,,,,
5,,383,,,,,,,,,,0.8427672982215881,0.5,0.22126734256744385,0.8427672982215881,1.0
5,,383,,,,,,0.864130437374115,0.5001358985900879,0.864130437374115,1.0,,,,,
6,0.1808851808309555,399,,,,,,,,,,,,,,
6,,447,,,,,,,,,,0.8427672982215881,0.5,0.2213551551103592,0.8427672982215881,1.0
6,,447,,,,,,0.864130437374115,0.5001358985900879,0.864130437374115,1.0,,,,,
7,0.2110922783613205,449,,,,,,,,,,,,,,
7,0.19191327691078186,499,,,,,,,,,,,,,,
7,,511,,,,,,,,,,0.8427672982215881,0.5,0.22134646773338318,0.8427672982215881,1.0
7,,511,,,,,,0.864130437374115,0.5001358985900879,0.864130437374115,1.0,,,,,
8,0.2109566330909729,549,,,,,,,,,,,,,,
8,,575,,,,,,,,,,0.8427672982215881,0.5,0.22152258455753326,0.8427672982215881,1.0
8,,575,,,,,,0.864130437374115,0.5001358985900879,0.864130437374115,1.0,,,,,
9,0.180991530418396,599,,,,,,,,,,,,,,
9,,639,,,,,,,,,,0.8427672982215881,0.5,0.22165420651435852,0.8427672982215881,1.0
9,,639,,,,,,0.864130437374115,0.5001358985900879,0.864130437374115,1.0,,,,,
10,0.2105652540922165,649,,,,,,,,,,,,,,
10,0.30254480242729187,699,,,,,,,,,,,,,,
10,,703,,,,,,,,,,0.8427672982215881,0.5,0.22167304158210754,0.8427672982215881,1.0
10,,703,,,,,,0.864130437374115,0.5001358985900879,0.864130437374115,1.0,,,,,
11,0.22106987237930298,749,,,,,,,,,,,,,,
11,,767,,,,,,,,,,0.8427672982215881,0.5,0.22168083488941193,0.8427672982215881,1.0
11,,767,,,,,,0.864130437374115,0.5001358985900879,0.864130437374115,1.0,,,,,
12,,768,0.8046301603317261,0.5,0.24341799318790436,0.8046301603317261,1.0,,,,,,,,,
