epoch,loss,step,test_accuracy,test_balanced_accuracy,test_loss,test_precision,test_recall,train_accuracy,train_balanced_accuracy,train_precision,train_recall
0,0.19437602162361145,0,,,,,,,,,
0,0.5372149348258972,1,,,,,,,,,
0,0.18369325995445251,2,,,,,,,,,
0,0.23883777856826782,3,,,,,,,,,
0,0.19071464240550995,4,,,,,,,,,
0,0.20467427372932434,5,,,,,,,,,
0,0.21134160459041595,6,,,,,,,,,
0,0.20243513584136963,7,,,,,,,,,
0,0.25397399067878723,8,,,,,,,,,
0,0.20262490212917328,9,,,,,,,,,
0,0.21890872716903687,10,,,,,,,,,
0,0.21208761632442474,11,,,,,,,,,
0,0.23767738044261932,12,,,,,,,,,
0,0.1788516491651535,13,,,,,,,,,
0,0.16244874894618988,14,,,,,,,,,
0,0.19534046947956085,15,,,,,,,,,
0,0.1863866150379181,16,,,,,,,,,
0,0.22849617898464203,17,,,,,,,,,
0,0.19264446198940277,18,,,,,,,,,
0,0.24491432309150696,19,,,,,,,,,
0,0.1924603283405304,20,,,,,,,,,
0,0.2695491313934326,21,,,,,,,,,
0,0.22854836285114288,22,,,,,,,,,
0,0.23419997096061707,23,,,,,,,,,
0,0.2492372989654541,24,,,,,,,,,
0,0.2176961600780487,25,,,,,,,,,
0,0.22868290543556213,26,,,,,,,,,
0,0.21187038719654083,27,,,,,,,,,
0,0.21099776029586792,28,,,,,,,,,
0,0.22140078246593475,29,,,,,,,,,
0,0.21170377731323242,30,,,,,,,,,
0,0.23750102519989014,31,,,,,,,,,
0,0.21137462556362152,32,,,,,,,,,
0,0.187222421169281,33,,,,,,,,,
0,0.195419043302536,34,,,,,,,,,
0,0.1955576390028,35,,,,,,,,,
0,0.20646654069423676,36,,,,,,,,,
0,0.177439346909523,37,,,,,,,,,
0,0.1860923022031784,38,,,,,,,,,
0,0.20409590005874634,39,,,,,,,,,
0,0.24580784142017365,40,,,,,,,,,
0,0.3167063891887665,41,,,,,,,,,
0,0.2699396014213562,42,,,,,,,,,
0,0.24721264839172363,43,,,,,,,,,
0,0.13521714508533478,44,,,,,,,,,
0,,44,,,,,,0.4540519714355469,0.4850011467933655,0.7271663546562195,0.459933876991272
1,0.185828298330307,45,,,,,,,,,
1,0.24609887599945068,46,,,,,,,,,
1,0.21141311526298523,47,,,,,,,,,
1,0.18584196269512177,48,,,,,,,,,
1,0.2031676322221756,49,,,,,,,,,
1,0.2200818806886673,50,,,,,,,,,
1,0.20252293348312378,51,,,,,,,,,
1,0.22948767244815826,52,,,,,,,,,
1,0.21118979156017303,53,,,,,,,,,
1,0.19361449778079987,54,,,,,,,,,
1,0.2642918825149536,55,,,,,,,,,
1,0.19266864657402039,56,,,,,,,,,
1,0.21957841515541077,57,,,,,,,,,
1,0.18496164679527283,58,,,,,,,,,
1,0.2290918231010437,59,,,,,,,,,
1,0.2308710515499115,60,,,,,,,,,
1,0.19097965955734253,61,,,,,,,,,
1,0.18296858668327332,62,,,,,,,,,
1,0.18316024541854858,63,,,,,,,,,
1,0.24795934557914734,64,,,,,,,,,
1,0.20033235847949982,65,,,,,,,,,
1,0.20779719948768616,66,,,,,,,,,
1,0.2417932003736496,67,,,,,,,,,
1,0.2121402472257614,68,,,,,,,,,
1,0.3088483214378357,69,,,,,,,,,
1,0.22880637645721436,70,,,,,,,,,
1,0.14769858121871948,71,,,,,,,,,
1,0.17614059150218964,72,,,,,,,,,
1,0.24815694987773895,73,,,,,,,,,
1,0.20272761583328247,74,,,,,,,,,
1,0.22074507176876068,75,,,,,,,,,
1,0.219907745718956,76,,,,,,,,,
1,0.20260648429393768,77,,,,,,,,,
1,0.1782795637845993,78,,,,,,,,,
1,0.19420349597930908,79,,,,,,,,,
1,0.1600845754146576,80,,,,,,,,,
1,0.23764926195144653,81,,,,,,,,,
1,0.16746178269386292,82,,,,,,,,,
1,0.194462388753891,83,,,,,,,,,
1,0.18617312610149384,84,,,,,,,,,
1,0.31719496846199036,85,,,,,,,,,
1,0.27298152446746826,86,,,,,,,,,
1,0.32592371106147766,87,,,,,,,,,
1,0.12746025621891022,88,,,,,,,,,
1,0.2795564532279968,89,,,,,,,,,
1,0.7280919551849365,90,,,,,,,,,
1,,90,,,,,,0.5614579319953918,0.49399715662002563,0.8728393912315369,0.5942391157150269
2,0.2539505958557129,91,,,,,,,,,
2,0.18661554157733917,92,,,,,,,,,
2,0.17018291354179382,93,,,,,,,,,
2,0.2037416398525238,94,,,,,,,,,
2,0.2120763510465622,95,,,,,,,,,
2,0.1954600065946579,96,,,,,,,,,
2,0.18685764074325562,97,,,,,,,,,
2,0.2205551266670227,98,,,,,,,,,
2,0.23721405863761902,99,,,,,,,,,
2,0.24586451053619385,100,,,,,,,,,
2,0.22871948778629303,101,,,,,,,,,
2,0.21163253486156464,102,,,,,,,,,
2,0.21172545850276947,103,,,,,,,,,
2,0.2718903422355652,104,,,,,,,,,
2,0.1946030557155609,105,,,,,,,,,
2,0.19471269845962524,106,,,,,,,,,
2,0.2214331030845642,107,,,,,,,,,
2,0.19421246647834778,108,,,,,,,,,
2,0.2028002142906189,109,,,,,,,,,
2,0.2407609075307846,110,,,,,,,,,
2,0.16595956683158875,111,,,,,,,,,
2,0.218906432390213,112,,,,,,,,,
2,0.18179038166999817,113,,,,,,,,,
2,0.24507606029510498,114,,,,,,,,,
2,0.2103622555732727,115,,,,,,,,,
2,0.18433870375156403,116,,,,,,,,,
2,0.1914791762828827,117,,,,,,,,,
2,0.25699275732040405,118,,,,,,,,,
2,0.19262607395648956,119,,,,,,,,,
2,0.16522176563739777,120,,,,,,,,,
2,0.2408415824174881,121,,,,,,,,,
2,0.2217351496219635,122,,,,,,,,,
