epoch,loss,step,test_accuracy,test_balanced_accuracy,test_loss,test_precision,test_recall,train_accuracy,train_balanced_accuracy,train_precision,train_recall,val_accuracy,val_balanced_accuracy,val_loss,val_precision,val_recall
0,0.23318150639533997,0,,,,,,,,,,,,,,
0,0.23930539190769196,1,,,,,,,,,,,,,,
0,0.3681713938713074,2,,,,,,,,,,,,,,
0,0.19209235906600952,3,,,,,,,,,,,,,,
0,0.2285604178905487,4,,,,,,,,,,,,,,
0,0.18902283906936646,5,,,,,,,,,,,,,,
0,0.2089899182319641,6,,,,,,,,,,,,,,
0,0.1668168157339096,7,,,,,,,,,,,,,,
0,0.22391389310359955,8,,,,,,,,,,,,,,
0,0.1758338361978531,9,,,,,,,,,,,,,,
0,0.17252425849437714,10,,,,,,,,,,,,,,
0,0.197791188955307,11,,,,,,,,,,,,,,
0,0.17529842257499695,12,,,,,,,,,,,,,,
0,0.26395273208618164,13,,,,,,,,,,,,,,
0,0.17372936010360718,14,,,,,,,,,,,,,,
0,0.1752384454011917,15,,,,,,,,,,,,,,
0,0.19715043902397156,16,,,,,,,,,,,,,,
0,0.20267769694328308,17,,,,,,,,,,,,,,
0,0.20761331915855408,18,,,,,,,,,,,,,,
0,0.17513222992420197,19,,,,,,,,,,,,,,
0,0.15483005344867706,20,,,,,,,,,,,,,,
0,0.20809294283390045,21,,,,,,,,,,,,,,
0,0.15476588904857635,22,,,,,,,,,,,,,,
0,0.22413744032382965,23,,,,,,,,,,,,,,
0,0.09906192123889923,24,,,,,,,,,,,,,,
0,0.09775758534669876,25,,,,,,,,,,,,,,
0,0.08852435648441315,26,,,,,,,,,,,,,,
0,0.0725414976477623,27,,,,,,,,,,,,,,
0,0.046984799206256866,28,,,,,,,,,,,,,,
0,0.026682566851377487,29,,,,,,,,,,,,,,
0,,29,,,,,,,,,,0.75,0.5,1.1120951175689697,0.75,1.0
0,,29,,,,,,0.7932996153831482,0.5148873329162598,0.8185840845108032,0.8793321847915649,,,,,
1,0.6741229891777039,30,,,,,,,,,,,,,,
1,0.24304722249507904,31,,,,,,,,,,,,,,
1,0.1284889578819275,32,,,,,,,,,,,,,,
1,0.13345713913440704,33,,,,,,,,,,,,,,
1,0.17044587433338165,34,,,,,,,,,,,,,,
1,0.20676690340042114,35,,,,,,,,,,,,,,
1,0.20802676677703857,36,,,,,,,,,,,,,,
1,0.14565147459506989,37,,,,,,,,,,,,,,
1,0.18495845794677734,38,,,,,,,,,,,,,,
1,0.23390546441078186,39,,,,,,,,,,,,,,
1,0.18698209524154663,40,,,,,,,,,,,,,,
1,0.18711543083190918,41,,,,,,,,,,,,,,
1,0.23948051035404205,42,,,,,,,,,,,,,,
1,0.22989323735237122,43,,,,,,,,,,,,,,
1,0.2188785970211029,44,,,,,,,,,,,,,,
1,0.17905676364898682,45,,,,,,,,,,,,,,
1,0.17011834681034088,46,,,,,,,,,,,,,,
1,0.17005786299705505,47,,,,,,,,,,,,,,
1,0.1894722878932953,48,,,,,,,,,,,,,,
