epoch,loss,step
0,0.19758769869804382,0
0,0.7910284399986267,1
0,0.2683374881744385,2
0,0.24616506695747375,3
0,0.1527528613805771,4
0,0.2005767524242401,5
0,0.17782294750213623,6
0,0.16101671755313873,7
0,0.2604038119316101,8
0,0.1643458753824234,9
0,0.20771408081054688,10
0,0.20210839807987213,11
0,0.19959595799446106,12
0,0.30029332637786865,13
0,0.21066322922706604,14
0,0.2674199640750885,15
0,0.15491127967834473,16
0,0.16440147161483765,17
0,0.15522417426109314,18
0,0.14599348604679108,19
0,0.21090146899223328,20
0,0.17357377707958221,21
0,0.20156392455101013,22
0,0.21086785197257996,23
0,0.17320381104946136,24
0,0.2016081064939499,25
0,0.1636354625225067,26
0,0.163504958152771,27
0,0.1916818618774414,28
0,0.18192602694034576,29
0,0.1913260817527771,30
0,0.18148700892925262,31
0,0.17075803875923157,32
0,0.14990074932575226,33
0,0.21177934110164642,34
0,0.216975599527359,35
0,0.2012745589017868,36
0,0.17532533407211304,37
0,0.2255924642086029,38
0,0.197252094745636,39
0,0.2534559369087219,40
0,0.22372795641422272,41
0,0.15213234722614288,42
0,0.1534748375415802,43
0,0.2284720242023468,44
0,0.23711787164211273,45
0,0.2561907470226288,46
0,0.19061578810214996,47
