epoch,loss,step,train_accuracy,train_balanced_accuracy,train_precision,train_recall,val_accuracy,val_balanced_accuracy,val_loss,val_precision,val_recall
0,0.19215357303619385,0,,,,,,,,,
0,0.19717657566070557,1,,,,,,,,,
0,0.1839059293270111,2,,,,,,,,,
0,0.19567041099071503,3,,,,,,,,,
0,0.25612401962280273,4,,,,,,,,,
0,0.2293652892112732,5,,,,,,,,,
0,0.1853465735912323,6,,,,,,,,,
0,0.257251113653183,7,,,,,,,,,
0,0.24176156520843506,8,,,,,,,,,
0,0.23408205807209015,9,,,,,,,,,
0,0.23304983973503113,10,,,,,,,,,
0,0.21349945664405823,11,,,,,,,,,
0,0.1853877156972885,12,,,,,,,,,
0,0.22694605588912964,13,,,,,,,,,
0,0.23063157498836517,14,,,,,,,,,
0,0.2526751458644867,15,,,,,,,,,
0,0.19430005550384521,16,,,,,,,,,
0,0.23099380731582642,17,,,,,,,,,
0,0.22327685356140137,18,,,,,,,,,
0,0.21900853514671326,19,,,,,,,,,
0,0.2437458336353302,20,,,,,,,,,
0,0.17447952926158905,21,,,,,,,,,
0,0.2694565951824188,22,,,,,,,,,
0,0.20069348812103271,23,,,,,,,,,
0,0.2203444391489029,24,,,,,,,,,
0,0.20324787497520447,25,,,,,,,,,
0,0.23966844379901886,26,,,,,,,,,
0,0.21594545245170593,27,,,,,,,,,
0,,27,,,,,0.654618501663208,0.4034830629825592,1.713812232017517,0.898596465587616,0.7012097835540771
0,,27,0.44168147444725037,0.5050569772720337,0.8579561114311218,0.40977123379707336,,,,,
1,0.22808335721492767,28,,,,,,,,,
1,0.22225145995616913,29,,,,,,,,,
1,0.2373543083667755,30,,,,,,,,,
1,0.23589429259300232,31,,,,,,,,,
1,0.18474121391773224,32,,,,,,,,,
1,0.1920102834701538,33,,,,,,,,,
1,0.22336751222610474,34,,,,,,,,,
1,0.228468120098114,35,,,,,,,,,
1,0.22791247069835663,36,,,,,,,,,
1,0.195843905210495,37,,,,,,,,,
1,0.22781363129615784,38,,,,,,,,,
1,0.2500118613243103,39,,,,,,,,,
1,0.2029765248298645,40,,,,,,,,,
1,0.20923812687397003,41,,,,,,,,,
1,0.22881290316581726,42,,,,,,,,,
1,0.202072873711586,43,,,,,,,,,
1,0.17174237966537476,44,,,,,,,,,
1,0.22040100395679474,45,,,,,,,,,
1,0.21024569869041443,46,,,,,,,,,
1,0.21709704399108887,47,,,,,,,,,
1,0.23488208651542664,48,,,,,,,,,
1,0.20576950907707214,49,,,,,,,,,
1,0.2136177122592926,50,,,,,,,,,
1,0.20248524844646454,51,,,,,,,,,
1,0.23100946843624115,52,,,,,,,,,
1,0.18711046874523163,53,,,,,,,,,
1,0.1723724752664566,54,,,,,,,,,
1,0.27550286054611206,55,,,,,,,,,
1,,55,,,,,0.36991870403289795,0.5746167898178101,0.17591844499111176,0.9671669602394104,0.3240303099155426
1,,55,0.19285714626312256,0.49704843759536743,0.8036160469055176,0.0643705427646637,,,,,
2,0.2941761314868927,56,,,,,,,,,
2,0.2343674898147583,57,,,,,,,,,
2,0.17017614841461182,58,,,,,,,,,
2,0.23800814151763916,59,,,,,,,,,
2,0.21090111136436462,60,,,,,,,,,
2,0.25774824619293213,61,,,,,,,,,
2,0.20671194791793823,62,,,,,,,,,
2,0.1826927661895752,63,,,,,,,,,
2,0.2989393472671509,64,,,,,,,,,
2,0.17285919189453125,65,,,,,,,,,
2,0.20857149362564087,66,,,,,,,,,
2,0.24056440591812134,67,,,,,,,,,
2,0.18334415555000305,68,,,,,,,,,
2,0.1833982765674591,69,,,,,,,,,
2,0.2276352196931839,70,,,,,,,,,
2,0.20161092281341553,71,,,,,,,,,
2,0.19390501081943512,72,,,,,,,,,
2,0.22482095658779144,73,,,,,,,,,
2,0.18632812798023224,74,,,,,,,,,
2,0.22052308917045593,75,,,,,,,,,
2,0.2269449084997177,76,,,,,,,,,
2,0.1948852837085724,77,,,,,,,,,
2,0.2644039988517761,78,,,,,,,,,
2,0.20357926189899445,79,,,,,,,,,
2,0.18037867546081543,80,,,,,,,,,
2,0.21814493834972382,81,,,,,,,,,
2,0.2403104603290558,82,,,,,,,,,
2,0.22322802245616913,83,,,,,,,,,
2,,83,,,,,0.8373983502388,0.4576810598373413,0.17980973422527313,0.9071781039237976,0.9153621196746826
2,,83,0.39750444889068604,0.5014564990997314,0.843477725982666,0.3551163673400879,,,,,
3,0.22960929572582245,84,,,,,,,,,
3,0.22829018533229828,85,,,,,,,,,
3,0.21999788284301758,86,,,,,,,,,
3,0.2546022832393646,87,,,,,,,,,
3,0.20122027397155762,88,,,,,,,,,
3,0.20961877703666687,89,,,,,,,,,
3,0.20125360786914825,90,,,,,,,,,
3,0.22813287377357483,91,,,,,,,,,
3,0.17508035898208618,92,,,,,,,,,
3,0.245466411113739,93,,,,,,,,,
3,0.18368585407733917,94,,,,,,,,,
3,0.19210246205329895,95,,,,,,,,,
3,0.24500225484371185,96,,,,,,,,,
3,0.2195490002632141,97,,,,,,,,,
3,0.2533819377422333,98,,,,,,,,,
3,0.2268691062927246,99,,,,,,,,,
3,0.2357742041349411,100,,,,,,,,,
3,0.22865919768810272,101,,,,,,,,,
3,0.2182588279247284,102,,,,,,,,,
3,0.18266096711158752,103,,,,,,,,,
3,0.22076797485351562,104,,,,,,,,,
3,0.2054709792137146,105,,,,,,,,,
3,0.1843838095664978,106,,,,,,,,,
3,0.20908498764038086,107,,,,,,,,,
3,0.18796707689762115,108,,,,,,,,,
3,0.18247883021831512,109,,,,,,,,,
3,0.24996672570705414,110,,,,,,,,,
3,0.23101647198200226,111,,,,,,,,,
3,,111,,,,,0.922448992729187,0.4976300299167633,0.16886238753795624,0.9259475469589233,0.9952600598335266
3,,111,0.7129243612289429,0.48673486709594727,0.8447993397712708,0.811342716217041,,,,,
4,0.2280121147632599,112,,,,,,,,,
4,0.2541954219341278,113,,,,,,,,,
4,0.20995426177978516,114,,,,,,,,,
4,0.2733229100704193,115,,,,,,,,,
4,0.23640012741088867,116,,,,,,,,,
4,0.22825022041797638,117,,,,,,,,,
4,0.21809116005897522,118,,,,,,,,,
4,0.2000243216753006,119,,,,,,,,,
4,0.19155234098434448,120,,,,,,,,,
4,0.19989268481731415,121,,,,,,,,,
4,0.24507296085357666,122,,,,,,,,,
4,0.2263685166835785,123,,,,,,,,,
4,0.17308658361434937,124,,,,,,,,,
4,0.19077910482883453,125,,,,,,,,,
4,0.22532427310943604,126,,,,,,,,,
4,0.22553537786006927,127,,,,,,,,,
4,0.22549855709075928,128,,,,,,,,,
4,0.2246166169643402,129,,,,,,,,,
4,0.19860923290252686,130,,,,,,,,,
4,0.20631393790245056,131,,,,,,,,,
